FIRST_DATE,DEX,NEW_USERS
2022-04-15,ref,74
2022-07-29,ref,6
2022-09-28,ref,12
2022-01-05,ref,74
2022-05-14,ref,28
2022-05-07,ref,33
2022-03-23,jumbo,31
2021-12-08,ref,32
2022-10-05,jumbo,6
2022-04-12,jumbo,5
2022-05-09,jumbo,3
2022-07-14,ref,12
2022-11-02,jumbo,4
2021-09-09,ref,604
2021-10-14,ref,235
2022-02-24,ref,28
2022-03-18,jumbo,73
2022-06-18,jumbo,2
2022-05-23,ref,22
2022-03-02,ref,24
2022-09-05,ref,4
2022-08-28,jumbo,1
2022-08-07,ref,20
2021-12-18,ref,27
2021-12-02,ref,29
2022-10-14,ref,16
2022-04-05,ref,33
2022-04-27,jumbo,8
2022-11-06,jumbo,2
2022-04-18,jumbo,8
2022-05-10,jumbo,4
2022-06-08,ref,22
2022-01-10,ref,67
2022-03-13,ref,36
2022-06-13,ref,19
2022-02-12,ref,21
2022-09-04,ref,8
2022-01-28,ref,29
2022-09-07,ref,7
2022-06-24,ref,8
2022-08-24,jumbo,4
2022-09-25,jumbo,5
2022-11-15,ref,4
2022-10-26,jumbo,4
2022-01-17,ref,52
2022-02-04,ref,25
2021-10-21,ref,395
2022-04-09,ref,38
2022-06-19,ref,14
2022-03-11,ref,36
2022-06-15,ref,10
2022-06-06,ref,23
2022-03-25,ref,19
2022-04-29,jumbo,7
2022-06-29,ref,6
2022-08-08,jumbo,1
2021-10-25,ref,733
2021-11-22,ref,163
2021-10-09,ref,409
2022-01-22,ref,43
2022-04-30,ref,70
2022-04-20,ref,107
2022-07-25,ref,11
2022-09-14,ref,23
2022-08-06,ref,7
2022-11-17,jumbo,1
2022-01-23,ref,39
2021-09-01,ref,846
2022-03-01,ref,37
2022-01-01,ref,25
2022-04-07,jumbo,7
2022-10-15,jumbo,2
2022-10-13,jumbo,1
2022-11-21,ref,11
2022-06-01,jumbo,2
2022-10-27,jumbo,2
2022-01-24,ref,43
2022-04-16,ref,49
2022-03-11,jumbo,35
2021-10-12,ref,243
2022-02-23,jumbo,56
2022-03-21,ref,18
2022-02-18,ref,61
2021-12-11,ref,35
2022-09-09,ref,9
2022-09-13,jumbo,1
2022-05-29,jumbo,1
2022-03-12,jumbo,122
2021-09-29,ref,233
2022-07-12,ref,8
2022-09-15,ref,23
2022-10-07,jumbo,2
2022-06-23,ref,9
2022-05-31,jumbo,4
2022-10-12,jumbo,2
2022-02-20,jumbo,4896
2022-04-27,ref,89
2022-06-09,ref,12
2021-12-21,ref,33
2022-10-12,ref,10
2022-10-24,ref,14
2022-02-07,ref,40
2022-07-18,ref,14
2022-01-19,ref,34
2022-04-03,jumbo,12
2022-03-23,ref,14
2022-07-22,jumbo,1
2021-09-13,ref,314
2022-04-26,ref,132
2022-11-03,ref,22
2022-02-18,jumbo,2704
2021-10-20,ref,405
2022-04-18,ref,77
2021-10-11,ref,473
2021-11-14,ref,123
2021-12-26,ref,57
2022-06-02,jumbo,3
2021-12-10,ref,28
2022-05-20,ref,13
2022-03-25,jumbo,19
2022-10-15,ref,14
2022-06-24,jumbo,7
2022-08-16,jumbo,6
2022-07-19,ref,16
2022-07-13,ref,5
2022-06-03,jumbo,5
2022-05-23,jumbo,1
2022-10-30,jumbo,1
2022-03-13,jumbo,35
2022-08-15,jumbo,5
2022-05-18,ref,23
2022-01-16,ref,82
2021-12-13,ref,42
2022-04-28,jumbo,11
2022-07-21,jumbo,1
2022-06-03,ref,13
2022-10-09,ref,10
2022-06-17,jumbo,6
2022-10-20,ref,7
2022-08-02,jumbo,2
2022-03-22,ref,24
2022-09-25,ref,16
2022-04-21,jumbo,25
2021-10-31,ref,194
2022-06-02,ref,13
2022-07-10,ref,7
2021-12-22,ref,32
2022-08-18,ref,10
2022-07-17,ref,5
2022-08-29,ref,7
2022-06-14,jumbo,3
2022-08-18,jumbo,2
2021-09-24,ref,330
2022-08-15,ref,17
2022-07-03,ref,15
2022-05-13,ref,34
2022-05-19,ref,20
2022-10-06,ref,16
2022-03-03,ref,21
2022-11-03,jumbo,3
2022-04-17,jumbo,5
2021-11-05,ref,127
2022-01-08,ref,52
2022-04-11,jumbo,13
2022-01-13,ref,83
2022-05-08,ref,36
2022-10-31,ref,12
2022-03-02,jumbo,13
2022-09-11,ref,9
2022-03-03,jumbo,6
2022-04-10,jumbo,11
2022-06-05,jumbo,2
2022-11-12,jumbo,1
2022-08-29,jumbo,1
2021-09-18,ref,266
2021-09-22,ref,209
2021-11-06,ref,209
2022-05-04,ref,44
2022-07-31,jumbo,2
2022-02-14,ref,26
2022-09-26,jumbo,4
2022-05-08,jumbo,5
2022-03-10,jumbo,20
2022-07-07,ref,12
2022-10-07,ref,9
2022-08-26,jumbo,2
2021-09-15,ref,243
2022-04-06,ref,24
2022-03-16,jumbo,29
2022-06-21,jumbo,5
2021-09-06,ref,303
2022-04-23,jumbo,8
2022-03-15,jumbo,41
2022-03-16,ref,38
2021-11-13,ref,95
2022-06-26,ref,5
2022-02-03,ref,13
2022-07-28,jumbo,5
2022-08-10,ref,38
2022-04-23,ref,87
2021-09-26,ref,316
2022-08-23,ref,8
2022-11-20,ref,11
2021-12-25,ref,34
2022-02-05,ref,24
2022-08-19,ref,13
2022-06-04,ref,11
2022-06-13,jumbo,9
2022-06-27,jumbo,7
2022-09-22,ref,4
2022-10-19,ref,10
2022-10-10,jumbo,1
2022-08-10,jumbo,3
2021-10-13,ref,205
2021-11-19,ref,363
2022-09-29,ref,17
2022-05-22,ref,13
2022-02-01,ref,20
2022-09-30,ref,6
2022-04-19,jumbo,7
2022-09-01,ref,12
2022-11-02,ref,10
2022-07-12,jumbo,5
2022-09-19,ref,24
2021-11-16,ref,98
2021-10-28,ref,431
2022-10-26,ref,14
2022-09-12,ref,18
2022-03-24,jumbo,23
2022-05-12,jumbo,3
2022-05-13,jumbo,2
2022-05-11,jumbo,2
2022-08-21,jumbo,1
2022-08-20,jumbo,3
2022-07-19,jumbo,2
2022-01-25,ref,33
2022-01-07,ref,72
2022-07-08,ref,11
2021-12-07,ref,20
2022-10-28,ref,7
2022-06-29,jumbo,2
2022-04-14,ref,92
2021-09-04,ref,460
2022-05-02,ref,70
2022-03-05,jumbo,21
2022-10-04,ref,15
2022-09-21,jumbo,3
2021-10-29,ref,281
2022-04-24,jumbo,6
2022-06-08,jumbo,213
2022-11-23,jumbo,4
2022-05-31,ref,22
2022-07-07,jumbo,9
2022-07-28,ref,4
2022-04-20,jumbo,6
2022-08-08,ref,18
2022-07-11,jumbo,4
2022-04-06,jumbo,3
2021-09-08,ref,836
2021-09-10,ref,364
2021-10-19,ref,329
2021-10-18,ref,241
2021-10-02,ref,304
2022-01-15,ref,98
2021-10-10,ref,367
2021-11-18,ref,409
2022-03-26,ref,25
2022-03-27,jumbo,9
2022-10-06,jumbo,4
2022-10-21,jumbo,3
2022-08-12,jumbo,1
2022-04-24,ref,72
2022-04-25,ref,142
2022-06-27,ref,9
2022-03-04,ref,22
2022-07-21,ref,13
2022-11-10,ref,10
2021-12-17,ref,21
2022-03-05,ref,16
2022-06-25,ref,14
2021-10-26,ref,919
2021-11-08,ref,151
2022-08-09,ref,27
2021-10-17,ref,236
2022-10-29,jumbo,2
2022-04-22,jumbo,24
2022-08-12,ref,15
2022-03-17,jumbo,14
2022-02-28,ref,21
2022-10-17,jumbo,4
2022-05-07,jumbo,4
2022-07-27,jumbo,1
2022-05-27,jumbo,3
2022-05-30,jumbo,1
2021-10-03,ref,510
2022-06-05,ref,22
2022-08-17,jumbo,1
2022-04-07,ref,30
2022-10-19,jumbo,2
2021-10-08,ref,418
2022-05-16,jumbo,14
2022-01-14,ref,126
2022-07-15,ref,11
2022-11-20,jumbo,2
2022-06-12,ref,13
2022-07-20,jumbo,2
2022-11-22,ref,3
2022-07-16,jumbo,1
2022-11-21,jumbo,1
2021-09-25,ref,356
2022-07-04,jumbo,3
2022-09-27,jumbo,15
2022-01-21,ref,39
2022-10-22,ref,12
2022-04-26,jumbo,9
2022-10-16,ref,5
2022-06-11,ref,11
2022-09-16,jumbo,2
2021-11-01,ref,147
2021-10-01,ref,207
2022-06-01,ref,20
2022-03-17,ref,21
2022-10-18,ref,5
2022-10-21,ref,10
2022-06-23,jumbo,1
2022-07-27,ref,6
2022-06-17,ref,5
2022-03-15,ref,14
2021-09-03,ref,730
2022-03-31,jumbo,17
2022-01-31,ref,16
2022-02-15,ref,25
2022-07-02,ref,9
2022-07-06,ref,7
2022-11-19,jumbo,2
2022-07-01,ref,13
2022-06-30,ref,8
2022-05-18,jumbo,1
2022-02-21,jumbo,220
2022-09-28,jumbo,6
2022-03-20,jumbo,66
2021-11-03,ref,176
2022-01-11,ref,71
2022-11-05,ref,17
2022-05-17,ref,21
2022-04-04,jumbo,9
2022-06-07,ref,11
2022-10-01,jumbo,1
2022-02-19,jumbo,4697
2021-10-30,ref,276
2022-08-16,ref,11
2022-07-20,ref,22
2021-12-14,ref,23
2022-02-23,ref,19
2022-06-20,ref,9
2022-06-21,ref,11
2022-06-28,jumbo,2
2022-11-18,jumbo,1
2022-04-30,jumbo,6
2021-11-20,ref,217
2022-04-12,ref,36
2021-09-27,ref,332
2022-03-22,jumbo,23
2022-03-18,ref,30
2022-01-06,ref,95
2022-01-20,ref,49
2021-12-29,ref,22
2022-04-01,jumbo,13
2022-10-23,ref,9
2022-09-10,ref,9
2022-11-11,ref,9
2022-03-26,jumbo,5
2022-08-13,jumbo,2
2021-11-23,ref,119
2021-12-27,ref,52
2022-02-26,ref,23
2022-02-17,ref,20
2022-10-11,jumbo,2
2022-08-27,jumbo,2
2022-10-08,jumbo,2
2021-11-24,ref,126
2022-05-05,ref,57
2022-01-03,ref,46
2021-12-12,ref,31
2022-07-02,jumbo,2
2022-02-06,ref,34
2022-03-20,ref,16
2022-08-13,ref,18
2022-11-01,ref,12
2022-02-13,ref,28
2022-11-08,jumbo,3
2022-08-05,jumbo,4
2022-05-24,jumbo,1
2022-10-20,jumbo,1
2021-10-27,ref,770
2022-03-10,ref,25
2022-05-15,jumbo,3
2022-05-29,ref,9
2021-12-31,ref,22
2022-09-17,ref,15
2022-11-16,ref,12
2022-05-25,jumbo,1
2021-10-05,ref,980
2022-03-21,jumbo,47
2022-03-01,jumbo,28
2022-04-01,ref,13
2022-08-14,jumbo,4
2022-08-11,ref,19
2022-02-16,ref,21
2022-05-21,jumbo,5
2022-10-08,ref,12
2022-09-23,jumbo,3
2022-09-14,jumbo,2
2022-05-03,jumbo,13
2022-11-06,ref,20
2022-08-28,ref,12
2021-10-23,ref,393
2022-05-10,ref,46
2021-11-09,ref,140
2022-02-24,jumbo,25
2022-06-20,jumbo,17
2022-11-08,ref,14
2022-06-16,ref,9
2022-01-30,ref,27
2021-11-17,ref,53
2022-09-20,ref,22
2022-10-16,jumbo,2
2022-07-17,jumbo,3
2021-10-07,ref,504
2021-11-10,ref,179
2022-08-01,ref,20
2022-08-03,ref,19
2022-10-13,ref,11
2022-03-30,ref,19
2022-02-25,jumbo,31
2022-03-07,jumbo,9
2022-10-25,jumbo,1
2022-10-02,ref,21
2021-09-23,ref,318
2022-04-10,ref,35
2022-05-03,ref,47
2022-08-31,ref,19
2021-11-26,ref,46
2021-09-30,ref,252
2022-08-04,ref,22
2022-08-02,ref,17
2022-07-11,ref,8
2022-02-27,ref,18
2022-04-14,jumbo,11
2022-11-19,ref,3
2022-05-01,jumbo,4
2021-10-24,ref,324
2022-09-06,ref,13
2022-04-03,ref,41
2022-10-11,ref,10
2022-03-09,jumbo,14
2022-08-05,ref,20
2022-06-15,jumbo,7
2022-05-28,jumbo,2
2022-09-04,jumbo,1
2022-07-30,jumbo,1
2022-03-28,ref,27
2022-01-18,ref,65
2021-11-30,ref,41
2022-05-11,ref,61
2022-03-09,ref,12
2022-03-19,ref,22
2022-06-12,jumbo,9
2022-06-10,jumbo,17
2022-08-22,ref,10
2022-09-18,jumbo,2
2022-07-05,ref,7
2022-05-16,ref,19
2022-10-31,jumbo,3
2022-05-21,ref,26
2021-12-05,ref,29
2022-05-30,ref,16
2022-05-04,jumbo,7
2022-10-17,ref,17
2022-03-06,jumbo,21
2022-09-08,jumbo,1
2022-05-22,jumbo,3
2022-08-11,jumbo,4
2021-09-02,ref,400
2021-12-24,ref,68
2022-11-12,ref,11
2022-08-01,jumbo,3
2022-11-11,jumbo,1
2021-09-17,ref,198
2022-05-28,ref,17
2021-11-02,ref,155
2022-02-02,ref,14
2022-01-02,ref,42
2022-10-04,jumbo,4
2022-10-18,jumbo,4
2022-09-24,ref,9
2021-09-11,ref,419
2022-08-26,ref,10
2021-12-01,ref,41
2022-11-07,ref,8
2022-09-08,ref,9
2022-04-25,jumbo,12
2021-10-22,ref,371
2022-09-23,ref,24
2022-05-01,ref,57
2022-11-17,ref,8
2021-11-15,ref,117
2022-05-06,ref,44
2022-03-12,ref,34
2022-07-30,ref,14
2022-06-10,ref,7
2022-05-14,jumbo,5
2022-10-10,ref,13
2021-09-07,ref,363
2022-02-10,ref,32
2021-12-28,ref,58
2022-06-18,ref,11
2022-08-14,ref,25
2022-02-28,jumbo,16
2022-10-29,ref,6
2022-07-08,jumbo,8
2022-04-16,jumbo,10
2022-08-21,ref,8
2022-03-28,jumbo,2
2022-11-04,jumbo,3
2022-09-02,jumbo,2
2022-07-14,jumbo,1
2022-07-23,jumbo,1
2022-11-09,ref,13
2022-02-21,ref,27
2021-11-12,ref,118
2021-09-28,ref,281
2022-02-19,ref,41
2022-10-03,ref,11
2022-04-15,jumbo,15
2022-07-24,jumbo,6
2022-08-27,ref,8
2022-10-25,ref,16
2021-11-28,ref,31
2022-09-18,ref,21
2022-08-24,ref,13
2022-09-30,jumbo,4
2022-06-30,jumbo,2
2022-06-28,ref,6
2022-09-11,jumbo,1
2022-06-22,jumbo,2
2021-09-19,ref,259
2022-02-09,ref,31
2021-11-29,ref,41
2022-02-26,jumbo,21
2022-09-27,ref,14
2022-11-01,jumbo,1
2022-08-19,jumbo,1
2022-11-09,jumbo,2
2022-07-18,jumbo,1
2021-09-05,ref,376
2021-11-11,ref,518
2022-04-21,ref,111
2021-12-23,ref,54
2022-03-14,ref,28
2022-09-20,jumbo,5
2021-12-09,ref,42
2022-09-21,ref,13
2022-11-14,ref,10
2022-06-19,jumbo,5
2022-03-29,jumbo,4
2021-09-12,ref,327
2022-09-29,jumbo,4
2021-12-03,ref,46
2021-12-15,ref,19
2022-10-03,jumbo,4
2022-06-11,jumbo,6
2022-06-04,jumbo,4
2022-04-05,jumbo,8
2022-05-06,jumbo,3
2022-03-07,ref,13
2022-03-19,jumbo,126
2022-07-25,jumbo,71
2021-11-07,ref,269
2022-04-11,ref,57
2021-11-04,ref,176
2022-06-22,ref,11
2022-07-09,ref,9
2022-09-13,ref,16
2022-03-30,jumbo,17
2022-08-23,jumbo,3
2022-06-06,jumbo,2
2022-06-16,jumbo,3
2021-10-16,ref,269
2022-04-08,ref,82
2021-09-20,ref,267
2022-05-19,jumbo,6
2022-07-04,ref,8
2022-10-27,ref,9
2022-07-31,ref,9
2022-07-10,jumbo,3
2022-02-27,jumbo,17
2022-02-25,ref,36
2022-07-15,jumbo,1
2022-07-06,jumbo,3
2022-05-12,ref,46
2022-03-27,ref,16
2022-01-12,ref,113
2021-09-21,ref,286
2022-10-28,jumbo,5
2022-07-26,ref,7
2022-10-30,ref,12
2022-11-04,ref,7
2022-05-27,ref,13
2022-07-24,ref,6
2021-10-15,ref,362
2022-09-16,ref,19
2022-07-23,ref,12
2021-12-06,ref,35
2022-02-11,ref,16
2022-06-09,jumbo,61
2022-05-09,ref,52
2022-05-26,ref,21
2022-04-29,ref,90
2022-03-14,jumbo,30
2021-11-27,ref,24
2022-06-26,jumbo,3
2022-09-24,jumbo,2
2022-07-09,jumbo,1
2021-09-16,ref,256
2022-03-06,ref,23
2022-04-04,ref,45
2022-04-13,ref,59
2022-07-13,jumbo,1
2022-05-26,jumbo,2
2022-03-04,jumbo,31
2022-08-20,ref,10
2022-02-22,ref,15
2022-03-08,ref,14
2022-09-03,ref,9
2022-08-06,jumbo,2
2022-08-31,jumbo,2
2022-10-02,jumbo,3
2022-11-14,jumbo,1
2021-09-14,ref,296
2022-01-27,ref,25
2021-11-21,ref,206
2022-02-22,jumbo,57
2022-07-26,jumbo,45
2021-12-20,ref,29
2022-02-08,ref,19
2022-06-14,ref,4
2022-06-07,jumbo,5
2022-05-05,jumbo,5
2022-04-09,jumbo,7
2022-09-17,jumbo,3
2022-09-22,jumbo,1
2021-10-04,ref,768
2021-10-06,ref,631
2022-02-20,ref,29
2022-04-08,jumbo,14
2022-08-25,ref,11
2022-08-30,ref,14
2022-10-05,ref,18
2022-11-23,ref,6
2022-11-22,jumbo,3
2022-04-28,ref,79
2022-04-19,ref,157
2022-10-01,ref,18
2022-03-29,ref,20
2021-11-25,ref,59
2022-07-16,ref,9
2022-04-02,ref,33
2021-12-30,ref,33
2022-03-08,jumbo,11
2022-08-30,jumbo,4
2022-11-10,jumbo,1
2022-03-31,ref,17
2022-03-24,ref,21
2021-12-16,ref,23
2022-07-22,ref,13
2022-01-09,ref,55
2022-05-20,jumbo,6
2022-04-02,jumbo,15
2022-09-06,jumbo,2
2022-05-02,jumbo,1
2022-01-04,ref,63
2022-09-02,ref,11
2022-05-15,ref,21
2022-04-22,ref,109
2022-08-17,ref,11
2022-05-24,ref,18
2022-05-25,ref,12
2022-11-13,ref,6
2022-11-18,ref,7
2022-08-07,jumbo,2
2021-12-19,ref,29
2021-12-04,ref,34
2022-04-17,ref,60
2022-01-29,ref,27
2022-04-13,jumbo,21
2022-09-26,ref,7
2022-01-26,ref,23
2022-05-17,jumbo,10
2022-07-01,jumbo,4
